decision,Gold_benefits,Platinum_upgrade,Platinum_upgrade_merit,age,female,income,group
0.0,1,0,0,47.75,0,60000000,0.0
0.0,1,0,0,42.916668,1,60000000,0.0
1.0,0,1,0,45.083332,0,60000000,1.0
0.0,1,0,0,53.5,1,60000000,0.0
1.0,0,0,1,40.0,1,60000000,2.0
0.0,0,1,0,33.75,0,260000000,1.0
0.0,0,1,0,46.0,0,60000000,1.0
0.0,0,0,1,53.916668,0,60000000,2.0
0.0,0,1,0,50.25,1,60000000,1.0
0.0,0,0,1,51.833332,0,510000000,2.0
0.0,0,1,0,43.25,0,800000000,1.0
1.0,0,1,0,36.333332,0,1000000000,1.0
0.0,0,1,0,67.583336,1,72000000,1.0
0.0,0,1,0,66.083336,0,60000000,1.0
0.0,1,0,0,60.166668,0,400000000,0.0
1.0,0,1,0,54.166668,0,1000000000,1.0
1.0,0,0,1,46.833332,1,500000000,2.0
1.0,0,1,0,49.5,0,2400000000,1.0
0.0,0,1,0,47.833332,0,60000000,1.0
0.0,0,0,1,62.333332,0,60000000,2.0
1.0,0,1,0,64.666664,0,1000000000,1.0
0.0,0,0,1,38.416668,0,60000000,2.0
0.0,0,0,1,48.666668,0,500000000,2.0
0.0,0,1,0,46.333332,0,60000000,1.0
0.0,0,0,1,34.666668,0,60000000,2.0
0.0,1,0,0,34.583332,0,60000000,0.0
1.0,0,1,0,47.166668,0,60000000,1.0
1.0,0,1,0,33.083332,0,60000000,1.0
0.0,1,0,0,54.333332,0,60000000,0.0
0.0,1,0,0,64.25,1,250000000,0.0
0.0,1,0,0,44.083332,0,336000000,0.0
0.0,1,0,0,67.25,0,600000000,0.0
0.0,1,0,0,49.166668,0,1000000000,0.0
0.0,0,1,0,71.5,0,500000000,1.0
0.0,0,1,0,52.25,0,250000000,1.0
0.0,0,0,1,59.666668,0,60000000,2.0
0.0,0,0,1,47.333332,1,300000000,2.0
0.0,0,0,1,54.666668,0,60000000,2.0
0.0,0,0,1,53.916668,1,455000000,2.0
0.0,1,0,0,44.333332,0,195000000,0.0
0.0,0,0,1,42.333332,0,60000000,2.0
0.0,0,1,0,36.583332,1,270000000,1.0
0.0,1,0,0,50.916668,0,521000000,0.0
1.0,0,0,1,46.5,0,600000000,2.0
1.0,0,1,0,64.416664,0,1200000000,1.0
0.0,0,0,1,40.0,0,60000000,2.0
1.0,0,1,0,45.75,0,360000000,1.0
0.0,0,1,0,37.0,0,60000000,1.0
0.0,0,0,1,30.916666,1,325000000,2.0
0.0,0,1,0,50.166668,0,60000000,1.0
0.0,0,0,1,40.083332,0,259000000,2.0
0.0,0,1,0,30.583334,0,60000000,1.0
0.0,0,0,1,47.166668,0,60000000,2.0
0.0,0,1,0,58.333332,0,600000000,1.0
0.0,0,1,0,41.0,1,60000000,1.0
1.0,0,1,0,48.833332,0,60000000,1.0
1.0,0,1,0,47.833332,0,60000000,1.0
1.0,0,0,1,56.5,0,60000000,2.0
0.0,0,1,0,36.75,0,400000000,1.0
0.0,0,0,1,41.75,1,60000000,2.0
0.0,1,0,0,46.833332,0,350000000,0.0
0.0,1,0,0,38.166668,0,60000000,0.0
1.0,0,0,1,40.916668,0,60000000,2.0
0.0,1,0,0,30.75,0,238000000,0.0
0.0,0,0,1,39.5,0,240000000,2.0
0.0,0,0,1,53.666668,1,400000000,2.0
0.0,0,0,1,46.833332,1,500000000,2.0
0.0,1,0,0,50.0,0,300000000,0.0
0.0,0,0,1,33.25,0,60000000,2.0
0.0,0,0,1,39.166668,0,60000000,2.0
1.0,1,0,0,41.333332,0,104000000,0.0
0.0,0,0,1,36.75,0,60000000,2.0
0.0,1,0,0,36.083332,1,60000000,0.0
0.0,1,0,0,32.583332,0,60000000,0.0
1.0,0,1,0,42.75,0,25000000,1.0
0.0,1,0,0,51.0,0,421000000,0.0
0.0,0,1,0,45.083332,0,357000000,1.0
0.0,1,0,0,34.0,0,60000000,0.0
0.0,0,1,0,50.833332,0,60000000,1.0
1.0,1,0,0,52.25,0,300000000,0.0
0.0,0,1,0,51.666668,0,500000000,1.0
0.0,0,1,0,67.083336,0,448000000,1.0
0.0,0,1,0,48.833332,0,60000000,1.0
0.0,0,0,1,55.416668,0,60000000,2.0
0.0,1,0,0,61.583332,0,60000000,0.0
0.0,1,0,0,52.583332,1,500000000,0.0
0.0,1,0,0,59.666668,0,60000000,0.0
0.0,0,0,1,30.416666,0,300000000,2.0
0.0,0,1,0,46.833332,0,286000000,1.0
0.0,0,1,0,41.75,0,60000000,1.0
1.0,0,0,1,56.416668,1,754000000,2.0
0.0,1,0,0,41.166668,0,1000000000,0.0
0.0,0,0,1,62.25,0,180000000,2.0
0.0,1,0,0,36.333332,0,60000000,0.0
0.0,0,0,1,62.666668,0,60000000,2.0
0.0,1,0,0,42.583332,0,286000000,0.0
0.0,1,0,0,49.166668,1,474000000,0.0
0.0,0,0,1,46.666668,1,60000000,2.0
1.0,1,0,0,55.0,1,60000000,0.0
1.0,0,1,0,43.333332,0,60000000,1.0
0.0,0,1,0,43.666668,0,60000000,1.0
0.0,0,0,1,31.75,1,60000000,2.0
0.0,1,0,0,34.583332,0,273000000,0.0
0.0,0,0,1,71.833336,0,120000000,2.0
0.0,0,1,0,39.833332,1,60000000,1.0
0.0,1,0,0,50.583332,1,60000000,0.0
0.0,0,1,0,42.75,0,25000000,1.0
0.0,0,0,1,46.25,0,60000000,2.0
1.0,0,1,0,58.0,1,1000000000,1.0
0.0,0,0,1,48.833332,0,60000000,2.0
0.0,0,1,0,53.083332,0,60000000,1.0
0.0,1,0,0,34.833332,1,60000000,0.0
1.0,0,0,1,53.916668,1,579000000,2.0
0.0,0,0,1,51.083332,1,60000000,2.0
0.0,0,0,1,46.416668,1,375000000,2.0
0.0,0,1,0,62.833332,0,700000000,1.0
0.0,0,1,0,51.916668,0,1000000000,1.0
0.0,0,0,1,56.333332,1,60000000,2.0
0.0,0,1,0,52.166668,0,60000000,1.0
0.0,1,0,0,36.416668,0,60000000,0.0
0.0,0,0,1,52.166668,1,60000000,2.0
0.0,0,1,0,44.25,0,700000000,1.0
0.0,0,0,1,40.166668,1,60000000,2.0
0.0,0,1,0,45.666668,0,195000000,1.0
0.0,0,1,0,34.166668,1,60000000,1.0
0.0,0,1,0,33.083332,0,60000000,1.0
0.0,0,1,0,38.5,0,650000000,1.0
1.0,0,0,1,44.333332,0,60000000,2.0
0.0,0,1,0,52.0,0,350000000,1.0
0.0,0,0,1,26.75,0,60000000,2.0
0.0,0,1,0,37.666668,1,60000000,1.0
0.0,0,0,1,49.166668,1,60000000,2.0
0.0,0,0,1,43.5,0,60000000,2.0
0.0,0,0,1,38.916668,0,60000000,2.0
0.0,0,1,0,52.833332,0,300000000,1.0
0.0,0,0,1,59.583332,0,60000000,2.0
0.0,0,0,1,49.916668,0,60000000,2.0
0.0,0,0,1,56.75,0,60000000,2.0
0.0,0,0,1,51.0,1,60000000,2.0
0.0,0,1,0,38.083332,0,60000000,1.0
0.0,0,1,0,61.583332,1,60000000,1.0
0.0,1,0,0,49.833332,1,195000000,0.0
0.0,1,0,0,47.75,0,60000000,0.0
0.0,0,0,1,31.666666,1,325000000,2.0
0.0,0,1,0,37.916668,0,500000000,1.0
0.0,0,1,0,40.833332,0,60000000,1.0
1.0,0,1,0,44.25,0,60000000,1.0
0.0,0,0,1,55.0,0,180000000,2.0
0.0,0,0,1,55.333332,0,300000000,2.0
0.0,0,1,0,44.25,0,300000000,1.0
0.0,0,1,0,46.583332,0,60000000,1.0
0.0,1,0,0,47.083332,1,60000000,0.0
0.0,0,0,1,62.416668,0,1000000000,2.0
0.0,0,0,1,53.25,0,60000000,2.0
0.0,0,0,1,58.416668,0,600000000,2.0
1.0,1,0,0,55.75,0,180000000,0.0
0.0,1,0,0,38.583332,0,195000000,0.0
0.0,0,1,0,45.333332,0,600000000,1.0
0.0,0,0,1,48.333332,0,60000000,2.0
0.0,0,0,1,51.833332,1,377000000,2.0
0.0,1,0,0,56.333332,1,500000000,0.0
0.0,0,0,1,40.833332,0,60000000,2.0
0.0,0,0,1,49.166668,0,60000000,2.0
1.0,0,0,1,44.0,0,60000000,2.0
1.0,0,0,1,53.916668,0,600000000,2.0
0.0,0,0,1,31.083334,0,180000000,2.0
0.0,0,0,1,38.333332,0,60000000,2.0
0.0,1,0,0,45.166668,0,390000000,0.0
0.0,1,0,0,56.25,0,300000000,0.0
1.0,0,0,1,58.916668,0,60000000,2.0
1.0,1,0,0,50.5,1,60000000,0.0
0.0,0,1,0,42.916668,0,25000000,1.0
0.0,0,0,1,31.5,0,60000000,2.0
0.0,1,0,0,43.833332,0,622000000,0.0
0.0,1,0,0,37.416668,0,25000000,0.0
0.0,0,1,0,52.25,0,60000000,1.0
0.0,0,0,1,66.416664,0,60000000,2.0
0.0,0,0,1,56.0,0,368000000,2.0
0.0,1,0,0,40.25,0,60000000,0.0
0.0,0,1,0,37.166668,0,60000000,1.0
0.0,0,0,1,50.416668,0,580000000,2.0
0.0,0,1,0,51.666668,0,60000000,1.0
0.0,1,0,0,66.083336,1,300000000,0.0
1.0,0,0,1,28.583334,0,350000000,2.0
0.0,1,0,0,49.25,0,180000000,0.0
0.0,0,0,1,46.583332,0,60000000,2.0
0.0,0,1,0,41.0,0,60000000,1.0
0.0,0,1,0,56.25,0,487000000,1.0
0.0,0,1,0,50.083332,1,60000000,1.0
0.0,0,1,0,47.166668,0,60000000,1.0
1.0,1,0,0,39.0,0,60000000,0.0
0.0,1,0,0,47.333332,1,60000000,0.0
0.0,1,0,0,59.083332,0,60000000,0.0
0.0,0,1,0,41.166668,0,25000000,1.0
1.0,1,0,0,41.583332,0,60000000,0.0
0.0,0,0,1,58.166668,0,60000000,2.0
0.0,0,0,1,60.583332,0,276000000,2.0
0.0,0,0,1,59.25,0,60000000,2.0
0.0,0,1,0,41.833332,0,360000000,1.0
0.0,0,0,1,50.583332,0,60000000,2.0
0.0,1,0,0,47.583332,0,60000000,0.0
0.0,0,1,0,43.666668,0,180000000,1.0
0.0,0,1,0,47.416668,0,531000000,1.0
1.0,0,1,0,57.0,0,60000000,1.0
0.0,0,1,0,56.333332,0,300000000,1.0
1.0,0,0,1,50.333332,0,60000000,2.0
1.0,0,0,1,40.666668,1,60000000,2.0
0.0,0,0,1,42.916668,0,65000000,2.0
0.0,0,1,0,39.333332,0,180000000,1.0
0.0,1,0,0,62.833332,0,2000000000,0.0
0.0,0,1,0,50.333332,0,200000000,1.0
0.0,0,0,1,35.583332,0,60000000,2.0
0.0,0,1,0,61.583332,1,900000000,1.0
0.0,1,0,0,40.083332,0,600000000,0.0
0.0,0,1,0,59.0,0,60000000,1.0
1.0,0,0,1,35.25,0,646000000,2.0
0.0,1,0,0,58.416668,1,178000000,0.0
1.0,0,1,0,47.416668,0,246000000,1.0
0.0,1,0,0,41.0,0,340000000,0.0
0.0,0,1,0,58.0,1,60000000,1.0
0.0,0,0,1,46.166668,0,12000000000,2.0
0.0,0,0,1,75.166664,0,180000000,2.0
