Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Nuggets;6;5;0;50;63;2;7;2;1;279;;1;4;154;Six
Meatballs;6;6;1;60;63;2;7;2;1;279;;1;4;154;Six
Burger;3;4;1;95;55;2;8;2;2;133;;1;4;167;Six
Sausages;5;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Nuggets;5;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Meatballs;7;5;1;98;55;2;8;2;2;133;;1;4;167;Six
Burger;3;2;1;40;42;1;7;5;5;130;;1;4;170;Control
Sausages;4;3;1;45;42;1;7;5;5;130;;1;4;170;Control
Nuggets;4;2;1;34;42;1;7;5;5;130;;1;4;170;Control
Meatballs;3;2;1;30;42;1;7;5;5;130;;1;4;170;Control
Burger;6;5;1;61;73;1;7;3;3;197;;1;4;172;Control
Sausages;2;2;0;34;73;1;7;3;3;197;;1;4;172;Control
Nuggets;5;4;1;40;73;1;7;3;3;197;;1;4;172;Control
Meatballs;2;2;0;24;73;1;7;3;3;197;;1;4;172;Control
Burger;5;4;1;44;24;2;7;4;4;872;;1;4;182;Control
Sausages;3;3;0;9;24;2;7;4;4;872;;1;4;182;Control
Nuggets;4;5;1;55;24;2;7;4;4;872;;1;4;182;Control
Meatballs;5;4;0;22;24;2;7;4;4;872;;1;4;182;Control
Burger;1;1;0;7;66;1;5;1;4;202;;1;4;186;Six
Sausages;6;5;1;91;66;1;5;1;4;202;;1;4;186;Six
Nuggets;6;6;1;94;66;1;5;1;4;202;;1;4;186;Six
Meatballs;5;4;1;83;66;1;5;1;4;202;;1;4;186;Six
Burger;3;2;0;52;44;1;7;1;5;156;;1;4;188;Control
Sausages;1;1;0;21;44;1;7;1;5;156;;1;4;188;Control
Nuggets;4;4;1;80;44;1;7;1;5;156;;1;4;188;Control
Meatballs;2;1;0;70;44;1;7;1;5;156;;1;4;188;Control
Burger;4;4;1;87;49;1;6;1;1;165;;1;4;196;Six
Sausages;3;4;1;83;49;1;6;1;1;165;;1;4;196;Six
Nuggets;3;4;1;89;49;1;6;1;1;165;;1;4;196;Six
Meatballs;5;4;1;85;49;1;6;1;1;165;;1;4;196;Six
Burger;6;6;1;80;35;2;4;2;3;152;;1;4;199;Control
Sausages;5;4;1;60;35;2;4;2;3;152;;1;4;199;Control
Nuggets;6;4;1;75;35;2;4;2;3;152;;1;4;199;Control
Meatballs;3;2;1;30;35;2;4;2;3;152;;1;4;199;Control
Burger;4;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Sausages;2;2;1;73;50;2;7;4;2;171;;1;4;203;Control
Nuggets;5;5;1;89;50;2;7;4;2;171;;1;4;203;Control
Meatballs;5;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Burger;2;1;0;25;59;1;7;4;3;224;;1;4;211;Six
Sausages;5;5;1;49;59;1;7;4;3;224;;1;4;211;Six
Nuggets;6;6;1;69;59;1;7;4;3;224;;1;4;211;Six
Meatballs;6;5;1;67;59;1;7;4;3;224;;1;4;211;Six
Burger;2;1;1;82;33;2;7;3;6;148;;1;4;213;Control
Sausages;2;1;1;81;33;2;7;3;6;148;;1;4;213;Control
Nuggets;3;2;1;82;33;2;7;3;6;148;;1;4;213;Control
Meatballs;3;1;1;81;33;2;7;3;6;148;;1;4;213;Control
Burger;6;6;1;85;64;2;8;2;1;156;;1;4;215;Control
Sausages;5;6;1;80;64;2;8;2;1;156;;1;4;215;Control
Nuggets;4;3;0;70;64;2;8;2;1;156;;1;4;215;Control
Meatballs;4;3;0;65;64;2;8;2;1;156;;1;4;215;Control
Burger;3;2;1;45;33;2;5;1;6;158;;1;4;222;Six
Sausages;4;3;1;70;33;2;5;1;6;158;;1;4;222;Six
Nuggets;2;2;0;35;33;2;5;1;6;158;;1;4;222;Six
Meatballs;2;1;0;15;33;2;5;1;6;158;;1;4;222;Six
Burger;4;6;1;30;42;2;7;3;4;136;;1;4;231;Six
Sausages;5;7;1;35;42;2;7;3;4;136;;1;4;231;Six
Nuggets;7;7;1;40;42;2;7;3;4;136;;1;4;231;Six
