Product;Like;Buy;Try;Belief;Age;Gender;Education;Income;Politics_1;Duration__in_seconds_;Gender_4_TEXT;Atlantic;Line;id;Group
Meatballs;3;2;1;30;42;1;7;5;5;130;;1;4;170;Control
Burger;6;5;1;61;73;1;7;3;3;197;;1;4;172;Control
Sausages;2;2;0;34;73;1;7;3;3;197;;1;4;172;Control
Nuggets;5;4;1;40;73;1;7;3;3;197;;1;4;172;Control
Meatballs;2;2;0;24;73;1;7;3;3;197;;1;4;172;Control
Burger;5;4;1;44;24;2;7;4;4;872;;1;4;182;Control
Sausages;3;3;0;9;24;2;7;4;4;872;;1;4;182;Control
Nuggets;4;5;1;55;24;2;7;4;4;872;;1;4;182;Control
Meatballs;5;4;0;22;24;2;7;4;4;872;;1;4;182;Control
Burger;6;7;1;90;59;2;4;1;2;203;;1;4;185;Eight
Sausages;7;7;1;92;59;2;4;1;2;203;;1;4;185;Eight
Nuggets;5;6;1;85;59;2;4;1;2;203;;1;4;185;Eight
Meatballs;6;6;1;85;59;2;4;1;2;203;;1;4;185;Eight
Burger;3;2;0;52;44;1;7;1;5;156;;1;4;188;Control
Sausages;1;1;0;21;44;1;7;1;5;156;;1;4;188;Control
Nuggets;4;4;1;80;44;1;7;1;5;156;;1;4;188;Control
Meatballs;2;1;0;70;44;1;7;1;5;156;;1;4;188;Control
Burger;4;4;0;52;33;1;7;2;3;243;;1;4;189;Eight
Sausages;3;2;0;36;33;1;7;2;3;243;;1;4;189;Eight
Nuggets;2;2;0;20;33;1;7;2;3;243;;1;4;189;Eight
Meatballs;4;3;1;40;33;1;7;2;3;243;;1;4;189;Eight
Burger;4;4;1;47;35;2;3;2;4;113;;1;4;192;Eight
Sausages;3;3;1;52;35;2;3;2;4;113;;1;4;192;Eight
Nuggets;6;5;1;85;35;2;3;2;4;113;;1;4;192;Eight
Meatballs;2;2;0;29;35;2;3;2;4;113;;1;4;192;Eight
Burger;6;6;1;80;35;2;4;2;3;152;;1;4;199;Control
Sausages;5;4;1;60;35;2;4;2;3;152;;1;4;199;Control
Nuggets;6;4;1;75;35;2;4;2;3;152;;1;4;199;Control
Meatballs;3;2;1;30;35;2;4;2;3;152;;1;4;199;Control
Burger;4;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Sausages;2;2;1;73;50;2;7;4;2;171;;1;4;203;Control
Nuggets;5;5;1;89;50;2;7;4;2;171;;1;4;203;Control
Meatballs;5;3;1;81;50;2;7;4;2;171;;1;4;203;Control
Burger;4;5;1;49;41;1;8;3;3;109;;1;4;208;Eight
